"crop_name","crop_production_unit","max_crop_yield_ha"
"Agroforestry","Pieces",1729.73614110693
"Amaranthus","Kilograms",3669511.67077685
"Apple","Kilograms",667.183940141245
"Arrowroot","Bunches",2634.14103774284
"Arrowroot","Kilograms",4633.22180653643
"Arrowroot","Numbers",1383.78891288555
"Arrowroot","Pieces",11440.0538432998
"Avocado","Kilograms",247105.163015276
"Avocado","Numbers",617762.90753819
"Avocado","Pieces",Inf
"Banana","Banch",118.610478247333
"Banana","Bunches",395.368260824442
"Banana","Kilograms",16473.6775343517
"Banana","Numbers",3706.57744522914
"Banana","Pieces",16944.3540353332
"Banana","Plant units",988.420652061104
"Banana","Stalk",247.105163015276
"Beans","100th bag",1.64736775343517
"Beans","Bag",2.47105163015276
"Beans","Bucket",37.0657744522914
"Beans","Debe",14.8263097809166
"Beans","Gorogoro",65.8947101374069
"Beans","Kilograms",7668.78092116374
"Beans","Tins",889.578586854994
"Black nightshade","Kilograms",194595.31587453
"Butternut","Kilograms",4942.10326030552
"Cabbage","150 pieces",3459.47228221386
"Cabbage","Kilograms",104772.589118477
"Cabbage","Numbers",27033.3048338712
"Cabbage","Pieces",125611.791199432
"Cabbage","Plant units",8401.57554251939
"Capsicum","Kilograms",247.105163015276
"Capsicum","Numbers",149449.202591639
"Carrots","Kilograms",10674.9430422599
"Cassava","Kilograms",17297.3614110693
"Cassava","Pieces",19768.4130412221
"Chilli","Kilograms",17297.3614110693
"Coffee","Kilograms",26687.3576056498
"Coriander","Acre",2.47105163015276
"Coriander","Bunches",79073.6521648883
"Coriander","Kilograms",1606.18355959929
"Courgette","Kilograms",63423.6585072542
"Courgette","Pieces",889.578586854994
"Cowpeas","Kilograms",22239.4646713748
"Cowpeas leaves","Kilograms",1945.9531587453
"Eggplant","Kilograms",1853.28872261457
"Ethiopian kale","Acre",2.47105163015276
"Ethiopian kale","Kilograms",53374.7152112996
"Fodder maize","Heaps",1186.10478247333
"Gojets","Kilograms",17516.3153529816
"Green chilli","Kilograms",296.526195618331
"Green gram","Kilograms",2446.34111385123
"Green peas","Kilograms",790.736521648883
"Guava","Pieces",123552.581507638
"Hay","Bales",533.333333333333
"Honey","Kilograms",397839.312454594
"Irish potatoes","Bucket",39.5368260824442
"Irish potatoes","Debe",6435.03028685615
"Irish potatoes","Kilograms",41184.1938358793
"Kales","Bag",494.210326030552
"Kales","Bunches",213498.860845199
"Kales","Kilograms",714035.079048942
"Kanzira","Kilograms",6671.83940141245
"Kunde","Kilograms",1148.21532414432
"Lemon","Kilograms",1482.63097809166
"Macadamia","Kilograms",4151.36673865664
"Maize","100th bag",19.7684130412221
"Maize","Bag",8.23683876717587
"Maize","Bucket",79.0736521648883
"Maize","Debe",2.47105163015276
"Maize","Kilograms",Inf
"Maize","Lorry",3.29473550687035
"Maize","Pickup",4.94210326030552
"Maize","Pieces",27799.3308392186
"Managu","Kilograms",18532.8872261457
"Mangoes","Fruit units",129730.21058302
"Mangoes","Kilograms",20460.3074976649
"Mangoes","Numbers",Inf
"Mangoes","Pickup",123.552581507638
"Mangoes","Pieces",16308940.7590082
"Mangoes","Wheelbarrow",19.7684130412221
"Mbaazi","Kilograms",234.099628119735
"Mbinda","Kilograms",864.868070553466
"Millet","Kilograms",247.105163015276
"Napier grass","Canter",49.4210326030552
"Napier grass","Cart",59.3052391236663
"Napier grass","Kilograms",1067494.30422599
"Napier grass","Lorry",123.552581507638
"Napier grass","Pickup",237.220956494665
"Napier grass","Wheelbarrow",13284.3735637012
"Ocre","Kilograms",197.684130412221
"Okra","Kilograms",21003.9388562985
"Orange","Bag",34.5947228221386
"Orange","Canter",5
"Orange","Kilograms",88957.8586854994
"Orange","Pieces",9884.20652061104
"Orange","Probox",3.70657744522914
"Passion fruit","Kilograms",Inf
"Pawpaws","Kilograms",1268.47317014508
"Pawpaws","Pieces",197.684130412221
"Peaches","Kilograms",11861.0478247333
"Peagions","Kilograms",65.8947101374069
"Pears","Acre",2.47105163015276
"Pears","Kilograms",8648.68070553466
"Peas","Bucket",17.2973614110693
"Peas","Kilograms",9884.20652061104
"Pegions","Kilograms",494.210326030552
"Picsies","Kilograms",760.323578508542
"Pigeon peas","Kilograms",3558.31434741998
"Pigweed","Kilograms",194595.31587453
"Pilipili hoho","Kilograms",988.420652061104
"Pixies","Kilograms",4447.89293427497
"Pixies","Pieces",6177.6290753819
"Plantain","Bunches",1235.52581507638
"Plum","Kilograms",7413.15489045828
"Potatoes","Bag",6.1776290753819
"Potatoes","Bucket",59.3052391236663
"Potatoes","Debe",118.610478247333
"Potatoes","Kilograms",43243.4035276733
"Pumpkin","Kilograms",296.526195618331
"Pumpkin","Pieces",247.105163015276
"Red pepper","Kilograms",271.815679316804
"Sandras","Kilograms",14826.3097809166
"Sorghum","Kilograms",197.684130412221
"Spinach","Bag",543.631358633607
"Spinach","Bunches",1153157.42740462
"Spinach","Kilograms",951256.035543607
"Sugarcane","Numbers",9884.20652061104
"Sukuma wiki","Bag",395.368260824442
"Sukuma wiki","Kilograms",13590.7839658402
"Sweet potatoes","Kilograms",9607.44873803393
"Tea","Kilograms",4127.27398526265
"Terere","Bunches",71166.2869483995
"Thorn melon","Kilograms",4942.10326030552
"Tomatoes","Crates",1284.94684767944
"Tomatoes","Kilograms",15023.9939113288
"Vegetables","Bundles",494.210326030552
"Vegetables","Kilograms",31234.0926051309
